"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2003"	"2003"	11	10358	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2009"	"2009"	14	12436	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2010"	"2010"	12	12261	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2011"	"2011"	12	11773	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2012"	"2012"	12	11660	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2014"	"2014"	11	11746	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2015"	"2015"	12	11845	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2017"	"2017"	16	11570	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"1999"	"1999"	43	72716	59.1
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2000"	"2000"	45	72742	61.9
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2001"	"2001"	42	75125	55.9
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2002"	"2002"	33	71962	45.9
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2003"	"2003"	31	72454	42.8
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2004"	"2004"	32	73917	43.3
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2005"	"2005"	43	72427	59.4
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	48	73572	65.2
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	34	74382	45.7
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2008"	"2008"	38	73636	51.6
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2009"	"2009"	48	70822	67.8
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2010"	"2010"	22	69663	31.6
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	39	69991	55.7
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2012"	"2012"	35	68877	50.8
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2013"	"2013"	39	68835	56.7
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2014"	"2014"	34	68570	49.6
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2015"	"2015"	21	69091	30.4
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2016"	"2016"	30	69047	43.4
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"< 1 year"	"0"	"White"	"2106-3"	"2017"	"2017"	37	68118	54.3
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"1999"	"1999"	52	23986	216.8
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2000"	"2000"	45	24610	182.9
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2001"	"2001"	46	24782	185.6
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2002"	"2002"	32	23389	136.8
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2003"	"2003"	15	23076	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2004"	"2004"	19	23421	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2005"	"2005"	18	22989	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2006"	"2006"	16	23303	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2007"	"2007"	12	23783	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2008"	"2008"	11	23305	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2009"	"2009"	16	23532	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2010"	"2010"	10	23716	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2011"	"2011"	12	23649	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2015"	"2015"	14	23354	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2016"	"2016"	17	22853	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2017"	"2017"	10	22706	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"1999"	"1999"	66	101749	64.9
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2000"	"2000"	51	101755	50.1
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2001"	"2001"	47	104542	45.0
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2002"	"2002"	51	101447	50.3
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2003"	"2003"	32	99987	32.0
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2004"	"2004"	31	100421	30.9
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2005"	"2005"	27	97024	27.8
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	34	95952	35.4
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	32	94334	33.9
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2008"	"2008"	36	91198	39.5
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2009"	"2009"	28	86832	32.2
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2010"	"2010"	34	85849	39.6
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	23	84237	27.3
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2013"	"2013"	23	84448	27.2
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2014"	"2014"	27	84121	32.1
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2015"	"2015"	18	85350	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2016"	"2016"	26	85446	30.4
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"< 1 year"	"0"	"White"	"2106-3"	"2017"	"2017"	18	83486	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"1999"	"1999"	38	23661	160.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2000"	"2000"	35	24249	144.3
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2001"	"2001"	22	24711	89.0
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2002"	"2002"	39	23978	162.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2003"	"2003"	22	24283	90.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2004"	"2004"	38	25267	150.4
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2005"	"2005"	20	25782	77.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2006"	"2006"	31	26864	115.4
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2007"	"2007"	22	28718	76.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2008"	"2008"	38	28476	133.4
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2009"	"2009"	29	27800	104.3
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2010"	"2010"	49	26317	186.2
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2011"	"2011"	31	24904	124.5
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2012"	"2012"	31	23965	129.4
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2013"	"2013"	29	24390	118.9
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2014"	"2014"	32	24787	129.1
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2015"	"2015"	33	25171	131.1
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2016"	"2016"	29	24957	116.2
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2017"	"2017"	34	24885	136.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"1999"	"1999"	73	121882	59.9
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2000"	"2000"	78	121424	64.2
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2001"	"2001"	70	124763	56.1
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2002"	"2002"	65	119076	54.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2003"	"2003"	52	118315	44.0
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2004"	"2004"	68	118383	57.4
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2005"	"2005"	61	114409	53.3
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	68	114975	59.1
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	71	115277	61.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2008"	"2008"	43	113094	38.0
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2009"	"2009"	49	110619	44.3
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2010"	"2010"	59	108935	54.2
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	61	110491	55.2
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2012"	"2012"	51	106464	47.9
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2013"	"2013"	61	107261	56.9
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2014"	"2014"	39	108091	36.1
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2015"	"2015"	53	109528	48.4
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2016"	"2016"	45	108267	41.6
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"< 1 year"	"0"	"White"	"2106-3"	"2017"	"2017"	33	107186	30.8
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"1999"	"1999"	18	6531	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2000"	"2000"	24	6897	348.0
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2001"	"2001"	27	7484	360.8
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2002"	"2002"	18	7503	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2003"	"2003"	12	7486	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2004"	"2004"	19	7753	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2005"	"2005"	12	7939	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2006"	"2006"	12	8407	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2007"	"2007"	22	9094	241.9
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2008"	"2008"	15	8995	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2009"	"2009"	10	8775	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2011"	"2011"	10	7312	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2012"	"2012"	14	7238	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2013"	"2013"	12	7041	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2014"	"2014"	10	6991	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"1999"	"1999"	36	56681	63.5
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2000"	"2000"	33	57700	57.2
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2001"	"2001"	41	57908	70.8
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2002"	"2002"	22	57404	38.3
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2003"	"2003"	21	57899	36.3
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2004"	"2004"	32	58422	54.8
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2005"	"2005"	22	57402	38.3
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	18	57681	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	25	59060	42.3
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2008"	"2008"	25	58188	43.0
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2009"	"2009"	16	57646	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2010"	"2010"	26	57197	45.5
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	22	58382	37.7
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2012"	"2012"	13	56947	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2014"	"2014"	11	56072	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2016"	"2016"	10	55339	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"< 1 year"	"0"	"White"	"2106-3"	"2017"	"2017"	11	55051	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"1999"	"1999"	40	34635	115.5
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2000"	"2000"	29	34748	83.5
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2001"	"2001"	31	34973	88.6
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2002"	"2002"	24	34089	70.4
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2003"	"2003"	24	34845	68.9
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2004"	"2004"	13	34582	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2005"	"2005"	23	34686	66.3
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	22	36218	60.7
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	35	36647	95.5
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2008"	"2008"	29	36316	79.9
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2009"	"2009"	27	35676	75.7
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2010"	"2010"	29	35275	82.2
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	19	34728	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2012"	"2012"	15	34356	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2013"	"2013"	13	34521	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2014"	"2014"	16	34829	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2015"	"2015"	18	35442	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2016"	"2016"	23	35359	65.0
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"< 1 year"	"0"	"White"	"2106-3"	"2017"	"2017"	14	34749	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"1999"	"1999"	12	3236	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2001"	"2001"	10	3439	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2004"	"2004"	15	3478	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2005"	"2005"	14	3555	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2006"	"2006"	16	3816	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2007"	"2007"	14	4113	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2008"	"2008"	11	4103	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"1999"	"1999"	32	33150	96.5
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2000"	"2000"	36	33110	108.7
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2001"	"2001"	28	33679	83.1
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2002"	"2002"	37	33304	111.1
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2003"	"2003"	32	33715	94.9
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2004"	"2004"	26	33562	77.5
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2005"	"2005"	30	33335	90.0
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	34	33832	100.5
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	36	35150	102.4
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2008"	"2008"	31	35290	87.8
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2009"	"2009"	22	35005	62.8
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2010"	"2010"	20	34691	57.7
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	25	33489	74.7
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2012"	"2012"	20	33601	59.5
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2013"	"2013"	27	33262	81.2
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2014"	"2014"	11	33435	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"< 1 year"	"0"	"White"	"2106-3"	"2015"	"2015"	11	32655	Unreliable
